,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
418,Nb1 Ti1 V1 Zr1,,,1000.0,6.3,6.458317279,BCC,,58.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.45652173913043476
75,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,C,25.0,7.6,7.557222162,BCC,530.0,2035.0,2105.0,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5507246376811593
176,Al1 Cu1 Ni1 Ti1,,C,25.0,5.7,5.739310967,FCC,537.0,300.0,536.0,129.0,121.62318,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.41304347826086957
30,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.5,9.549692921,BCC,353.0,1188.0,,63.0,105.1476585,50.0,50.0,,Prof.Yeh-RHEA,0.6884057971014492
357,Mo1 Nb1 Ta1 V1 W1,,C,25.0,12.4,12.37616704,BCC,536.0,1246.0,1270.0,,229.2405322,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8985507246376812
347,Mo1 Nb1 Ta1 Ti1 W1,CAST,C,25.0,11.9,11.75495916,BCC,,1340.0,,,222.155169,14.1,14.1,,Prof.Yeh-RHEA,0.8623188405797101
154,Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.24,6.228043003,BCC,,1860.0,,119.0,169.2125674,9.0,,,Prof.Yeh-3dtransitional,0.45217391304347826
153,Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.2,6.228043003,BCC,,1860.0,2580.0,181.0,169.2125674,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4492753623188406
415,Nb1 Ti1 V1 Zr1,,,25.0,6.3,6.458317279,BCC,,1105.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.45652173913043476
157,Al1 Co1 Fe1 Ni1,,C,25.0,6.6,6.604716099,BCC,456.0,964.0,,,161.7140033,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.47826086956521735
408,Nb1 Ti1 V0.3 Zr1,,C,25.0,6.5,6.509762281,BCC,,866.0,,,95.93634497,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.47101449275362317
70,Al0.5 Mo1 Nb1 Ti1 V1,,C,25.0,6.8,6.817877503,BCC,487.0,1625.0,,,155.5890876,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.49275362318840576
195,Al1 Nb1 Ti1 V1,,C,25.0,5.5,5.496265861,BCC,448.0,1020.0,1318.0,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.39855072463768115
329,Mo1.5 Nb1 Ti1 V1 Zr1,,C,25.0,7.4,7.374721493,BCC,,1603.0,,,155.8178991,20.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5362318840579711
39,Al0.429 Ca0.286 Li1 Mg1 Si0.143,CAST,C,25.0,1.57,1.4,,,418.0,,,,13.0,,10.3390/ma12071136,,0.11376811594202899
141,Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,BCC,,1050.0,,,184.2786056,22.0,,,Prof.Yeh-3dtransitional,0.4865942028985507
268,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1200.0,9.93,9.9,BCC,,556.0,,,137.0,,,10.1016/j.actamat.2019.06.032,,0.7195652173913043
72,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,25.0,7.6,7.557222162,BCC,,2035.0,,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5507246376811593
9,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.455,7.458566983,FCC,,750.0,,102.5,189.296876,38.5,,,Prof.Yeh-3dtransitional,0.5402173913043478
275,Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1200.0,10.18,10.2,BCC,,404.0,,,143.0,,,10.1016/j.actamat.2019.06.032,,0.7376811594202898
