,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
424,Nb1 Ti1 Zr1,CAST,C,25.0,,6.5,BCC,372.0,1223.0,,,94.0,,,10.1007/s12598-019-01310-6,,0.34317343173431736
75,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,,25.0,7.3,7.319238709,FCC,321.0,,,,181.8865426,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.29612546125461253
180,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,CAST,,25.0,,6.2,BCC,790.0,,,,129.0,,,10.1002/adem.200300567,,0.7287822878228782
30,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,CAST,,25.0,,7.2,BCC,594.0,,,,174.0,,,10.1007/s11661-006-0081-3,,0.5479704797047971
392,Mo1 Nb1 Re0.5 W1,CAST,C,25.0,,13.7,BCC,473.0,896.0,,,298.0,10.4,7.08,10.1016/j.jallcom.2018.11.111,,0.43634686346863466
275,Co1 Cu1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.4,FCC,208.0,,478.0,,189.0,,,10.1016/j.matdes.2012.08.019,,0.1918819188191882
414,Mo1 Nb1 Ta1 W1,CAST,C,25.0,13.8,13.65986331,BCC,454.0,1058.0,,,250.0231927,2.1,2.1,,Prof.Yeh-RHEA,0.4188191881918819
154,Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,,,,,5.3,,882.0,,,,,,,10.1016/j.actamat.2019.03.010,,0.8136531365313653
195,Al2 Co1 Cr1 Fe1 Mo0.5 Ni1,,,25.0,6.3,6.263645919,BCC,605.0,,,,175.4008035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5581180811808119
148,Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,,,,,5.2,,855.0,,,,,,,10.1016/j.actamat.2019.03.010,,0.7887453874538746
153,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,CAST,,25.0,,5.6,BCC,487.0,,,,152.0,,,10.1016/j.jallcom.2008.07.124,,0.4492619926199262
70,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.6,7.621679625,FCC,210.0,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.1937269372693727
199,Al2 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.6,5.621741192,BCC,643.0,,1030.0,165.0,152.1715905,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5931734317343174
334,Cr1 Fe1 Mo0.2 Ni3,ANNEAL,C,,,8.427662237,FCC,238.0,,,,224.777957,,,,Paper_Collection_4_element,0.21955719557195572
39,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.5,7.50474373,FCC,182.0,244.0,,,205.1766073,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.16789667896678967
173,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,CAST,C,25.0,,6.8,BCC,569.0,1641.0,3285.0,,182.0,,17.0,10.1016/j.msea.2011.10.110,,0.5249077490774908
382,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.917872809,BCC,480.0,1317.0,,130.0,123.0677835,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.44280442804428044
72,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,215.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.19833948339483395
9,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,ANNEAL,,,,7.7,,343.0,,,,,,,10.1016/j.ultramic.2015.06.009,,0.31642066420664205
280,Co1 Fe1 Ni1,CAST,C,25.0,,8.5,FCC,125.0,209.0,,,207.0,31.0,,10.1016/j.jmmm.2014.07.023,,0.11531365313653137
286,Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,8.3,8.331325886,FCC,286.0,230.0,888.0,206.0,206.0965696,51.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.26383763837638374
225,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,C,25.0,7.1,7.147250402,BCC,591.0,2000.0,2368.0,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5452029520295203
