,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
101,Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,300.0,,7.6,FCC,132.0,,,,,25.0,,10.1088/2053-1591/ab0597,,0.5073574836016236
260,Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,,,,,5.3,,816.0,,,,,,,10.1016/j.actamat.2019.03.010,,0.3538150872485007
1083,Mo1 Ta1 Ti1 V1,CAST,C,25.0,,9.6,BCC,,1221.0,1454.0,,189.0,,,10.4028/www.scientific.net/MSF.898.638,,0.6408726108652087
109,Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.5,FCC,,,,,185.0,,,10.1063/1.3587228,,0.5006817272384444
649,Co1 Cu1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.4,FCC,208.0,,478.0,,189.0,,,10.1016/j.matdes.2012.08.019,,0.5607635345070577
736,Cr1 Nb1 Ti1 W1,CAST,,,,9.9,BCC,630.0,,,,217.0,,,10.1016/j.matdes.2018.06.003,,0.6608998799547466
332,Al1 Cr1 Mo1 Ti1,ANNEAL,C,23.0,5.98,6.0,BCC,,1100.0,,,189.0,,,10.1016/j.actamat.2019.06.032,,0.4005453817907555
49,Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,7.1,BCC,460.0,1250.0,1500.0,,161.0,13.0,,10.3390/e16020870,,0.4739787017857273
461,Al1 Nb1 Ti1 V1,,,1000.0,5.5,5.496265861,BCC,,158.0,,,103.9545112,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.3669173179529568
921,Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,760.0,,9.9,BCC,,,,78.7,107.0,,,10.1016/j.jallcom.2019.05.322,,0.6608998799547466
453,Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,25.0,6.8,6.848966848,BCC,,1280.0,,,105.1027635,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4572203401673979
558,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,353.0,635.0,,220.0,8.0,,10.1016/j.jallcom.2019.04.121,,0.5340605090543407
155,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,CAST,,25.0,,7.3,FCC,321.0,,,,,,,10.2320/matertrans.47.1395,,0.48733021451208586
423,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,BCC,178.0,2260.0,3140.0,187.0,175.8114219,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.43008480013703027
1040,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1000.0,10.91,11.0,BCC,,753.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,0.7343331999497185
78,Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,159.0,410.0,,,43.0,,10.1016/j.matdes.2017.02.072,,0.5073574836016236
1141,Nb1 Ta1 Ti1,WROUGHT,C,1000.0,,10.0,BCC,,160.0,,,136.0,18.5,,10.1016/j.actamat.2019.06.006,,0.6675756363179258
208,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,ANNEAL,,,,6.3,,410.0,,,,,,,10.1155/2019/2157592,,0.4205726508802933
292,Al1 Co1 Cr0.091 Nb0.727 W0.212,CAST,,25.0,,7.2,,1084.0,,,,,,,10.1038/s41467-019-10533-1,,0.4806544581489066
