target,PROPERTY: Type of test,PROPERTY: Processing method,PROPERTY: HV,PROPERTY: Calculated Young modulus (GPa),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),FORMULA,PROPERTY: Microstructure,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Elongation plastic (%)
0.5073574836016236,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 132.0 in Vickers scale.,Unknown,Unknown,Unknown,The alloy has 25.0% elongation.,Alloy's formula is Al0.3 Co1 Cr1 Fe1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 300.0 Celsius.,Unknown,Unknown
0.3538150872485007,Unknown,Unknown,Hardness of the alloy is 816.0 in Vickers scale.,Unknown,Unknown,Unknown,Unknown,Alloy's formula is Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209.,Unknown,Unknown,Unknown,Unknown
0.6408726108652087,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Unknown,Calculated Young modulus of the alloy is 189.0GPa.,Yield Strength (YS) of alloy is 1221.0MPa.,Ultimate tensile strength (UTS) of alloy is 1454.0MPa.,Unknown,Alloy's formula is Mo1 Ta1 Ti1 V1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5006817272384444,Unknown,Unknown,Unknown,Calculated Young modulus of the alloy is 185.0GPa.,Unknown,Unknown,Unknown,Alloy's formula is Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.5607635345070577,The alloy was tested in T test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 208.0 in Vickers scale.,Calculated Young modulus of the alloy is 189.0GPa.,Unknown,Ultimate tensile strength (UTS) of alloy is 478.0MPa.,Unknown,Alloy's formula is Co1 Cu1 Fe1 Mn1 Ni1.,Microstructure of alloy is FCC.Atoms arranged in a cube with one at each corner and one at the center of each face. Packing density ~74%.The alloy is FCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.6608998799547466,Unknown,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 630.0 in Vickers scale.,Calculated Young modulus of the alloy is 217.0GPa.,Unknown,Unknown,Unknown,Alloy's formula is Cr1 Nb1 Ti1 W1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Unknown,Unknown,Unknown
0.4005453817907555,The alloy was tested in C test.,"Processing method of the alloy is ANNEAL.Heat treatment process for alloys. Involves heating to a specific temperature, holding, and controlled cooling. Used to relieve stresses, improve machinability, enhance mechanical properties, and alter microstructure.",Unknown,Calculated Young modulus of the alloy is 189.0GPa.,Yield Strength (YS) of alloy is 1100.0MPa.,Unknown,Unknown,Alloy's formula is Al1 Cr1 Mo1 Ti1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 23.0 Celsius.,Unknown,Unknown
0.4739787017857273,The alloy was tested in C test.,"Processing method of the alloy is CAST.Liquid material poured into a mold, solidifying to form the casting. Used for complex shapes, especially for metals or materials like epoxy, concrete, plaster, and clay.",Hardness of the alloy is 460.0 in Vickers scale.,Calculated Young modulus of the alloy is 161.0GPa.,Yield Strength (YS) of alloy is 1250.0MPa.,Ultimate tensile strength (UTS) of alloy is 1500.0MPa.,The alloy has 13.0% elongation.,Alloy's formula is Al0.25 Mo1 Nb1 Ti1 V1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 25.0 Celsius.,Unknown,Unknown
0.3669173179529568,Unknown,Unknown,Unknown,Calculated Young modulus of the alloy is 103.9545112GPa.,Yield Strength (YS) of alloy is 158.0MPa.,Unknown,The alloy has 50.0% elongation.,Alloy's formula is Al1 Nb1 Ti1 V1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 1000.0 Celsius.,Unknown,Unknown
0.6608998799547466,Unknown,"Processing method of the alloy is WROUGHT.Shaping materials through plastic deformation, including rolling, forging, extrusion, or drawing. Commonly applied to metallic alloys for specific shapes, sizes, and mechanical properties.",Unknown,Calculated Young modulus of the alloy is 107.0GPa.,Unknown,Unknown,Unknown,Alloy's formula is Hf1 Nb1 Ta1 Ti1 Zr1.,Microstructure of alloy is BCC.Atoms arranged in a cube with one at each corner and one at the center. Packing density than FCC ~68%.The alloy is BCC.,Alloy as tested at 760.0 Celsius.,Experimental Young modulus of the alloy is 78.7GPa.,Unknown
