FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.053 Cu1 Mn1 Ni1,CAST,C,25.0,,8.3,0,166.0,330.0,,,173.0,45.0,,10.1016/j.jallcom.2015.07.285,
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,WROUGHT,T,25.0,,8.0,0,,719.0,1048.0,,209.0,30.0,,10.1016/j.msea.2017.04.111,
Al0.10 Co1 Cr1 Fe1 Mn1 Ni1,,,25.0,7.9,7.879317948,0,180.0,,,,215.7108266,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,ANNEAL,,25.0,,7.6,0,487.0,,,,201.0,,,10.1016/j.actamat.2011.06.041,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,T,25.0,,7.5,0,,280.0,556.0,,204.0,48.0,48.2,10.1016/j.msea.2019.05.056,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,T,25.0,,7.5,0,,1253.0,1392.0,,204.0,6.78,8.2,10.1016/j.msea.2019.05.056,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,WROUGHT,T,25.0,,7.8,0,107.0,62.0,169.0,16.6,200.0,98.0,,10.1016/j.matchar.2019.109792,
Al0.15 Hf0.15 Nb0.3 Ti0.4,ANNEAL,C,25.0,7.07,7.062829579,2,,830.0,,,99.54532257,50.0,50.0,,Prof.Yeh-RHEA
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,ANNEAL,T,25.0,,7.8,0,,210.0,503.0,,214.0,70.0,,10.1016/j.actamat.2015.08.076,
Al0.195 Mo0.07 Nb0.215 Ti0.185 V0.24 Zr0.095,CAST,C,25.0,5.97,6.029984581,2,,1209.0,,,114.4923257,1.0,1.0,,Prof.Yeh-RHEA
