FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,1200.0,9.95,9.938913534,1,,556.0,,,137.0328224,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Fe1 Mo0.5 Ni1,,C,25.0,6.8,6.783315691,1,622.0,1749.0,2644.0,,198.7126404,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,-73.0,,8.2,0,,488.0,790.0,194.0,226.0,85.0,,10.1007/s40843-018-9373-y,,0
Al0.375 Co1 Cr1 Fe1 Ni1,,,25.0,7.5,7.519494797,0,131.0,,,,207.0759655,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Cr1 Cu1 Fe1 Mn1,POWDER,C,25.0,,6.5,2,633.0,1010.0,,,,,,10.1557/jmr.2019.18,,2
Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.5,1,,1104.0,,,100.0,,50.0,10.1016/j.matdes.2015.06.072,,1
Mo1.7 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.5,7.464302832,1,,1645.0,,,161.2548363,15.0,15.0,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,295.0,1073.0,,55.0,107.0,,,10.1016/j.jallcom.2014.11.064,,1
Co1 Cr1 Cu1 Fe1,,,25.0,,8.2,0,134.0,,,,208.0,,,10.3166/acsm.31.633-648,,0
Hf1 Mo0.5 Nb1 Ti1 V0.5,CAST,C,25.0,,9.0,1,,1260.0,,,126.0,,,10.1016/j.jallcom.2016.10.014,,1
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,CAST,C,25.0,,5.8,1,,1240.0,,,134.0,,,10.1016/j.matlet.2016.11.030,,1
Al0.25 Co1 Fe1 Ni1,CAST,C,25.0,,7.9,0,138.0,158.0,,,192.0,,,10.1016/j.jmmm.2014.07.023,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,351.0,1145.0,1262.0,,107.0,,,10.1016/j.jallcom.2015.07.209,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1000.0,7.6,7.621679625,0,,150.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,0,,594.0,1006.0,,185.0,49.0,,10.3390/e21020169,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,967.0,981.0,,107.0,,,10.1016/j.jallcom.2019.04.291,,1
Al2 Co1 Cr1 Fe1 Mo0.5 Ni1,,,25.0,6.3,6.263645919,1,605.0,,,,175.4008035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mo0.2 Ni1,CAST,T,25.0,,8.3,0,,400.0,780.0,,232.0,53.0,,10.3390/e21050448,,0
Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,8.0,8.027647867,0,176.0,208.0,,,219.8823361,62.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,C,25.0,6.0,6.009026544,1,,1834.0,2195.0,,162.1135755,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo1 Ta1 Ti1 Zr1,,,1000.0,10.21,10.19147746,1,,855.0,,,142.9802846,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,ANNEAL,,25.0,,7.6,0,487.0,,,,201.0,,,10.1016/j.actamat.2011.06.041,,0
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,72.0,,8.4,1,,640.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,8.2,0,,273.0,567.0,210.0,226.0,61.6,,10.1016/j.actamat.2019.04.017,,0
Mo0.1 Nb1 Ti1 V0.3,,C,25.0,6.6,6.651535095,1,,932.0,,,120.4416961,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,480.0,,9.9,1,,,,82.7,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,25.0,,8.7,1,,1719.0,1803.0,,128.0,,,10.1016/j.matdes.2015.05.019,,1
