FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1200.0,,10.2,1,,404.0,,,143.0,4.0,,10.1016/j.intermet.2015.03.013,,1
Hf1 Nb1 Ta1 Ti1 W1 Zr1,CAST,C,25.0,11.23,11.19531061,1,,1550.0,,,148.4958845,26.3,24.5,,Prof.Yeh-RHEA,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,312.0,660.0,,208.0,51.0,,10.1016/j.msea.2018.12.077,,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1050.0,,,220.0,52.0,,10.1016/j.msea.2019.04.025,,0
Hf1 Mo1 Nb1 Ta1 Ti1,CAST,C,1400.0,,10.8,1,,367.0,,,155.0,,,10.3390/e21010015,,1
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,800.0,9.1,9.088964376,1,,796.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,8.2,0,168.9,163.0,,,226.0,83.0,,10.1016/j.intermet.2019.106550,,0
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,0,,399.0,575.0,,185.0,9.0,,10.3390/e21020169,,0
Nb1 Ti1 V2 Zr1,,,25.0,6.3,6.404764627,1,,918.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,240.0,,9.9,1,,,,86.5,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf1 Mo1 Nb1 Ta1 Zr1,CAST,C,1200.0,,10.9,1,,694.0,,,141.0,,,10.3390/e21010015,,1
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,340.0,,7.6,0,147.0,,,,210.0,,,10.1088/2053-1591/ab0597,,0
Co1 Cu1 Fe1 Ni1 Sn0.02,,T,25.0,8.6,8.61561643,0,,,548.0,,185.2964464,17.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ti1 Zr1,ANNEAL,C,25.0,,8.7,1,,1575.0,1640.0,,128.0,10.0,,10.1016/j.matdes.2015.05.019,,1
Hf1 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.9,9.893530612,1,,295.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ti1 Zr1,ANNEAL,T,25.0,8.395,8.389278152,1,,879.0,,,89.37400368,14.9,,,Prof.Yeh-RHEA,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-153.0,,8.4,1,,1640.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1000.0,,11.0,1,,752.8,1105.0,,209.0,,,10.1016/j.intermet.2017.01.007,,1
Mo1 Nb1 Ta1 V1,CAST,C,25.0,10.35,10.68399594,1,,1530.0,,,185.5314881,21.8,20.0,,Prof.Yeh-RHEA,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,0,,270.0,630.0,,220.0,46.2,,10.1016/j.msea.2019.01.112,,0
