,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
490,Hf0.25 Ti1 V0.5 Zr0.5,CAST,C,600.0,,6.5,BCC,338.3,405.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.16360926068812845
213,Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,800.0,6.3,6.271288576,BCC,,302.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.12199999192053035
109,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,25.0,7.6,7.557222162,BCC,,2035.0,,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8220860382724479
77,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.1,9.088964376,BCC,,298.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.12038409798780808
259,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,25.0,7.1,7.147250402,BCC,,2000.0,,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8079469663611281
82,Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,CAST,C,25.0,1.7,1.6,,,556.0,,,,16.0,,10.3390/ma12071136,,0.22460925664839362
298,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-196.0,,8.4,FCC,,419.0,,,202.0,,34.6,10.1016/j.scriptamat.2019.02.038,,0.16926488945265633
436,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,,C,25.0,7.9,7.920592137,FCC,151.0,200.0,,,214.7184545,75.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.08079469663611281
198,Al1 Nb1 Ti1 V1,ANNEAL,C,1000.0,,5.5,BCC,,158.0,,,,,,10.1016/j.matlet.2014.11.162,,0.06382781034252911
192,Al1 Nb1 Ta1 Ti1,CAST,C,200.0,,8.2,BCC,,740.0,,,,,,10.1016/j.actamat.2019.06.006,,0.2989403775536174
494,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,200.0,,10.4,BCC,,650.0,,,122.0,,,10.1080/14786435.2015.1028506,,0.26258276406736664
355,Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.0,FCC,176.0,208.0,,,220.0,4.37,,10.1016/j.actamat.2013.09.037,,0.08402648450155732
5,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,ANNEAL,T,25.0,,7.8,FCC,,210.0,503.0,,214.0,70.0,,10.1016/j.actamat.2015.08.076,,0.08483443146791846
54,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,CAST,C,25.0,,7.2,,,1166.0,,,,30.2,,10.1016/j.scriptamat.2016.04.014,,0.47103308138853767
434,Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,8.025,8.027647867,FCC,174.5,207.5,,,219.8823361,,,,Prof.Yeh-3dtransitional,0.08382449775996705
300,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,20.0,,8.4,FCC,,252.0,,,202.0,,82.1,10.1016/j.scriptamat.2019.02.038,,0.10180131776150214
239,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,BCC,178.0,2260.0,3140.0,187.0,175.8114219,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.9129800719880747
97,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,7.6,7.621679625,FCC,,426.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.17209270383492029
559,Hf1 Mo1 Nb1 Ta1 Zr1,CAST,C,1400.0,,10.9,BCC,,278.0,,,141.0,,,10.3390/e21010015,,0.11230462832419681
831,Nb1 Ta1 V1 W1,,C,25.0,12.9,12.88664201,BCC,492.0,1530.0,,,205.5328097,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.618079429266263
675,Mo0.7 Nb1 Ti1 V1 Zr1,,C,25.0,7.0,6.949676036,BCC,,1706.0,,,130.0207242,32.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6891787623060422
487,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,CAST,C,600.0,,6.9,BCC,310.4,859.0,,,101.0,50.0,,10.1007/s40195-019-00921-3,,0.3470132220521045
25,Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,7.1,BCC,460.0,1250.0,1500.0,,161.0,13.0,,10.3390/e16020870,,0.5049668539757051
84,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,FCC,,180.0,185.0,,189.0,,,10.1016/j.jallcom.2009.10.088,,0.07271522697250153
10,Al0.1 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,1198.0,,,220.0,1.5,,10.1016/j.actamat.2018.12.012,,0.48396023285031575
208,Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,6.3,6.271288576,BCC,,1620.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6544370427525138
362,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,930.3,1021.0,,220.0,38.7,,10.1007/s11661-019-05231-y,,0.37581653140287874
787,Mo1 Nb1 Ti1 V1.5 Zr1,CAST,C,25.0,7.055,7.050560244,BCC,,1735.0,,,139.6374891,20.1,13.2,,Prof.Yeh-RHEA,0.7008939933182786
367,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,258.76,599.0,,,47.0,,10.1007/s11661-019-05231-y,,0.10453217850780275
118,Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.6,BCC,517.0,1260.0,1300.0,,151.0,8.0,,10.3390/e16020870,,0.5090065888075107
676,Mo0.7 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.0,6.949676036,BCC,,1706.0,,,130.0207242,32.0,32.0,,Prof.Yeh-RHEA,0.6891787623060422
635,Hf1 Mo1 Nb1 Ti1 Zr1,,C,25.0,8.7,8.685086263,BCC,,1803.0,1719.0,,127.9212828,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.728364190174557
29,Al0.25 Nb1 Ta1 Ti1 V1,,C,25.0,8.8,8.794810956,BCC,,1330.0,,130.0,130.4925823,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5372847326301502
579,Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1000.0,,10.2,BCC,,855.0,,,143.0,,,10.1016/j.intermet.2015.03.013,,0.3453973281193823
549,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,800.0,,9.9,BCC,,1007.0,,,137.0,,,10.1016/j.intermet.2015.03.013,,0.406801297562828
