,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
394,Co1 Cr1 Fe1 Ni1 Ti0.2,WROUGHT,T,-196.0,,7.9,FCC,,860.0,1580.0,,218.0,46.0,,10.1016/j.actamat.2018.11.049,,0.3474171955352851
66,Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,25.0,8.1,8.088884841,BCC,,1965.0,,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.7938078944498084
495,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,300.0,,10.4,BCC,,590.0,,,122.0,,,10.1080/14786435.2015.1028506,,0.2383443550765328
67,Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,800.0,8.1,8.088884841,BCC,,362.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.1462384009113642
854,Nb1 Ti1 V1 Zr1,,,25.0,6.3,6.458317279,BCC,,1105.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.44639069891452327
765,Mo1 Nb1 Ta1 V1 W1,,C,25.0,12.4,12.37616704,BCC,536.0,1246.0,1270.0,,229.2405322,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5033509600429829
86,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,7.6,FCC,,388.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,,0.15674171147405885
803,Nb1 Ta1 Ti1,WROUGHT,C,800.0,,10.0,BCC,,210.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,0.08483443146791846
605,Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,BCC,,940.0,1080.0,,107.0,,,10.1016/j.actamat.2017.09.062,,0.3797350741897302
467,Cu1 Mn1 Ni1 Zn0.333,CAST,C,25.0,,8.3,FCC,147.0,215.0,,,167.0,60.0,,10.1016/j.jallcom.2015.07.285,,0.08685429888382128
