FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,4.75,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,5.78,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,5.79,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,5.51,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,
Ag1Al1Nb1Ti1Zn1,ANNEAL,,,,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,
Al0.053Cu1Mn1Ni1,CAST,C,25.0,,8.3,FCC,166.0,330.0,,,173.0,45.0,,10.1016/j.jallcom.2015.07.285,
Al0.055Nb0.05Ti0.31V0.30Zr0.285,CAST,C,25.0,5.622,5.720607597,BCC+Sec.,,1275.5,,,98.25462248,8.15,1.2,,Prof.Yeh-RHEA
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,C,25.0,,7.6,FCC+BCC,,354.0,,,,,,10.1016/j.jallcom.2018.08.093,
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,C,400.0,,7.6,FCC+BCC,,260.0,,,,,,10.1016/j.jallcom.2018.08.093,
Al0.05Cr0.5Fe1Mn0.625Ni0.375,CAST,C,600.0,,7.6,FCC+BCC,,155.0,,,,,,10.1016/j.jallcom.2018.08.093,
Al0.05Mo0.17Ti0.35V0.295Zr0.16,CAST,C,25.0,6.09,6.089263178,BCC+Sec.,,1460.0,,,138.6725433,18.2,10.8,,Prof.Yeh-RHEA
Al0.108Co0.514Cr0.514Cu0.108Fe0.514Ni1,WROUGHT,T,25.0,,8.0,FCC,,719.0,1048.0,,209.0,30.0,,10.1016/j.msea.2017.04.111,
Al0.108Co0.514Cr0.514Cu0.108Fe0.514Ni1,WROUGHT,T,25.0,,8.0,FCC+L12,,460.0,732.0,,,32.0,,10.1016/j.msea.2017.04.111,
Al0.10Co1Cr1Fe1Mn1Ni1,,,25.0,7.9,7.879317948,FCC,180.0,,,,215.7108266,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.111Cu1Mn1Ni1,CAST,C,25.0,,8.1,FCC+Sec.,241.0,515.0,,,,40.0,,10.1016/j.jallcom.2015.07.285,
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,CAST,C,25.0,,7.2,FCC+BCC,,1862.0,2431.0,164.0,,1.0,,10.1016/j.msea.2006.11.049,
Al0.125Cr1Mo1Nb1Ta0.125Ti1V0.25Zr0.5,ANNEAL,C,25.0,7.78,7.494498527,BCC+Laves,,1699.819,,,171.9145677,2.4,2.4,,Prof.Yeh-RHEA
Al0.125Cr1Mo1Nb1Ta0.25Ti1V0.125Zr0.5,ANNEAL,C,25.0,7.51,7.771599138,BCC+Laves,,1420.638,,,173.2076658,0.5,0.5,,Prof.Yeh-RHEA
Al0.125Cr1Mo1Nb1Ta0.375Ti1Zr0.5,ANNEAL,C,25.0,8.06,8.04522285,BCC+Laves,,1763.429,,,174.4845389,2.5,2.5,,Prof.Yeh-RHEA
Al0.125Cr1Mo1Nb1Ti1V0.375Zr0.5,ANNEAL,C,25.0,7.22,7.213854323,BCC+Laves,,1664.479,,,170.6049333,2.7,2.7,,Prof.Yeh-RHEA
Al0.133Co1Cr0.667Fe0.667Ni1Ti0.333,ANNEAL,,25.0,,7.6,FCC,487.0,,,,201.0,,,10.1016/j.actamat.2011.06.041,
Al0.133Co1Cr0.667Fe0.667Ni1Ti0.667,ANNEAL,,25.0,,7.2,FCC+Sec.,717.0,,,,,,,10.1016/j.actamat.2011.06.041,
Al0.143Cr0.343Fe1Mn0.8Ni0.571,CAST,T,25.0,,7.5,FCC,,280.0,556.0,,204.0,48.0,48.2,10.1016/j.msea.2019.05.056,
Al0.143Cr0.343Fe1Mn0.8Ni0.571,CAST,T,25.0,,7.5,FCC,,1253.0,1392.0,,204.0,6.78,8.2,10.1016/j.msea.2019.05.056,
